"Country or Area","Year","Value"
"France","1994","70887.1545302222"
"France","1993","70784.482915594"
"France","1992","70409.6491266911"
"France","1991","70584.1918303513"
"France","1990","69877.2978348802"
"Germany","2018","52641.8915241947"
"Germany","2017","54738.2933072479"
"Germany","2016","55506.9169357373"
"Germany","2015","56767.5594649947"
"Germany","2014","56991.0838748958"
"Germany","2013","58219.3857879987"
"Germany","2012","58804.7854575367"
"Germany","2011","58067.1682895849"
"Germany","2010","59181.1996956221"
"Germany","2009","60184.9401895039"
"Germany","2008","62652.956875149"
"Germany","2007","63569.2318963654"
"Germany","2006","65595.3518134338"
"Germany","2005","69368.1372365839"
"Germany","2004","72528.7900243091"
"Germany","2003","77513.7850139275"
"Germany","2002","80969.3465264693"
"Germany","2001","85044.7720439692"
"Germany","2000","88605.5509858914"
"Germany","1999","92729.8075446619"
"Germany","1998","93625.7977336133"
"Germany","1997","98735.2061555412"
"Germany","1996","103245.922030112"
"Germany","1995","105613.346215162"
"Germany","1994","108086.087152347"
"Germany","1993","112044.546717296"
"Germany","1992","111435.380833103"
"Germany","1991","115019.17688635"
"Germany","1990","121192.505410664"
"Greece","2018","10091.0736758647"
"Greece","2017","10059.2307085678"
"Greece","2016","9804.96008766239"
"Greece","2015","10151.6649081703"
"Greece","2014","10323.7931573167"
"Greece","2013","10532.9005025028"
"Greece","2012","10772.7007426025"
"Greece","2011","10935.6571293117"
"Greece","2010","11068.1669966774"
"Greece","2009","10861.7013280517"
"Greece","2008","11229.7951209232"
"Greece","2007","11326.6216229254"
"Greece","2006","11459.9026980895"
"Greece","2005","11382.3181985725"
"Greece","2004","11287.5400469912"
"Greece","2003","11261.482461038"
"Greece","2002","11164.3601895612"
"Greece","2001","11055.6270396233"
"Greece","2000","11735.9399888417"
"Greece","1999","11753.0519923692"
"Greece","1998","11772.0915366938"
"Greece","1997","11548.5420369916"
"Greece","1996","11595.1603772651"
"Greece","1995","11427.5094343334"
"Greece","1994","11271.2384081952"
"Greece","1993","11151.4858362228"
"Greece","1992","11116.915834427"
"Greece","1991","11040.9520075849"
"Greece","1990","11042.2435557028"
"Hungary","2018","7271.99810136845"
"Hungary","2017","7374.46002244714"
"Hungary","2016","7302.65462633629"
"Hungary","2015","7352.83050378733"
"Hungary","2014","7329.73998638528"
"Hungary","2013","7511.40107113926"
"Hungary","2012","7680.18355697025"
"Hungary","2011","7630.45336910688"
"Hungary","2010","7713.51394104686"
"Hungary","2009","7710.22317464262"
"Hungary","2008","7673.19027975126"
"Hungary","2007","7819.06468686718"
"Hungary","2006","7864.57922019254"
"Hungary","2005","8011.85967219197"
"Hungary","2004","8218.26322288581"
"Hungary","2003","8571.37228693171"
"Hungary","2002","8400.78822888334"
"Hungary","2001","8450.51021187607"
"Hungary","2000","8566.31014615412"
"Hungary","1999","8465.11403120525"
"Hungary","1998","8400.08832367983"
"Hungary","1997","8520.15858551476"
"Hungary","1996","8660.59061860084"
"Hungary","1995","8597.50062733593"
"Hungary","1994","9133.62505663569"
"Hungary","1993","9603.61309109527"
"Hungary","1992","10152.1933349425"
"Hungary","1991","11452.9149817107"
"Hungary","1990","11721.7957069637"
"Iceland","2018","630.020234040386"
"Iceland","2017","637.050880381091"
"Iceland","2016","647.897743325456"
"Iceland","2015","656.429950488154"
"Iceland","2014","650.420748685198"
"Iceland","2013","638.578711409451"
"Iceland","2012","633.433757511747"
"Iceland","2011","660.192435317822"
"Iceland","2010","681.861066188864"
"Iceland","2009","692.49717016359"
"Iceland","2008","701.464370374183"
"Iceland","2007","715.231406747818"
"Iceland","2006","708.776782021203"
"Iceland","2005","672.561514222724"
"Iceland","2004","684.967095891684"
"Iceland","2003","688.411411726771"
